Unnamed: 0,year-name,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,year,Player
8918,2018-Josh Hart,SG,22,LAL,63,1461,12.2,0.596,0.525,0.251,3.1,16.0,9.6,7.6,1.5,0.9,10.1,13.5,1.9,1.5,3.4,0.111,-0.6,0.5,-0.1,0.7,2018,Josh Hart
9619,2019-Josh Hart,SG,23,LAL,67,1715,9.3,0.526,0.591,0.172,2.2,12.6,7.5,7.0,1.7,1.9,10.4,13.5,0.2,1.9,2.1,0.059,-2.3,1.0,-1.3,0.3,2019,Josh Hart
10311,2020-Josh Hart,SF,24,NOP,65,1755,11.9,0.563,0.665,0.216,3.7,22.1,12.8,8.2,1.7,1.1,11.4,15.3,1.3,1.8,3.1,0.085,-1.1,0.4,-0.7,0.6,2020,Josh Hart
10969,2021-Josh Hart,SF,25,NOP,47,1349,12.2,0.566,0.561,0.259,4.3,26.1,15.2,10.6,1.4,0.8,11.3,13.5,1.4,1.3,2.7,0.097,-1.1,0.3,-0.8,0.4,2021,Josh Hart
11693,2022-Josh Hart,SG-SF,26,TOT,54,1791,16.1,0.61,0.374,0.371,3.7,20.7,12.0,18.9,1.7,0.7,14.7,18.6,2.8,1.5,4.4,0.117,0.5,0.5,1.0,1.4,2022,Josh Hart
11694,2022-Josh Hart,SG,26,NOP,41,1374,15.2,0.604,0.337,0.399,4.2,21.9,12.8,17.7,1.6,0.8,15.1,16.7,2.1,1.4,3.4,0.119,-0.2,0.9,0.7,0.9,2022,Josh Hart
11695,2022-Josh Hart,SF,26,POR,13,417,19.4,0.622,0.454,0.311,2.3,16.7,9.2,23.1,1.9,0.5,13.7,25.0,0.8,0.2,1.0,0.112,2.8,-1.0,1.9,0.4,2022,Josh Hart
722,2004-Josh Howard,SF,23,DAL,67,1589,15.7,0.485,0.124,0.259,9.9,15.4,12.6,8.8,2.2,2.5,10.2,18.2,2.3,1.2,3.5,0.104,0.2,-0.2,-0.1,0.8,2004,Josh Howard
1310,2005-Josh Howard,SF,24,DAL,76,2446,15.8,0.535,0.145,0.293,7.9,14.1,11.1,7.2,2.5,1.5,12.0,18.6,3.0,3.4,6.4,0.126,0.3,0.8,1.2,2.0,2005,Josh Howard
1885,2006-Josh Howard,SF,25,DAL,59,1915,19.3,0.536,0.085,0.359,7.9,15.3,11.7,10.4,1.9,1.0,8.4,22.9,4.4,2.3,6.7,0.168,2.2,0.0,2.2,2.0,2006,Josh Howard
2424,2007-Josh Howard,SF,26,DAL,70,2455,20.0,0.548,0.222,0.273,6.5,16.6,11.7,9.2,1.8,1.7,9.3,25.2,5.0,3.8,8.8,0.173,2.7,0.4,3.1,3.2,2007,Josh Howard
2982,2008-Josh Howard,SF,27,DAL,76,2757,18.3,0.534,0.168,0.308,5.2,16.7,11.2,10.6,1.1,0.9,7.5,25.9,4.8,3.2,8.0,0.14,1.8,-0.6,1.2,2.2,2008,Josh Howard
3577,2009-Josh Howard,SF,28,DAL,52,1663,17.0,0.532,0.215,0.281,4.1,14.0,9.1,8.6,1.7,1.3,9.2,26.7,1.5,1.7,3.2,0.091,0.7,-0.7,0.0,0.8,2009,Josh Howard
